ra,dec,g
300.01898042,-1.01339725,23.853394
300.02077796,-0.99905158,24.677822
300.02219835,-1.00254048,25.467918
300.02109541,-0.99612752,22.336737
300.0227117,-0.99727604,22.90556
300.02511671,-0.99307816,23.600849
300.0275671,-1.00401703,24.084944
299.97736946,-1.00704956,24.241686
299.97827053,-0.99714826,24.131769
299.99322591,-0.98180484,26.107443
299.99213945,-0.98088669,24.901871
300.00336211,-0.97242857,24.563927
300.01629522,-0.97733667,23.478382
300.02341938,-0.98926833,24.58954
300.02517083,-0.99636182,23.272453
299.96910943,-0.99289926,14.880617
299.96734771,-0.99502319,18.53484
299.96917557,-0.99660814,19.827902
299.96957203,-0.99143492,18.493162
299.96863865,-0.9957207,25.114916
299.9702554,-0.99844571,23.514217
299.97033495,-0.99461675,22.912846
299.96799035,-0.99719525,25.458168
299.97383873,-0.98741437,23.311041
299.96831838,-0.99884828,25.92227
299.97473109,-1.01448906,23.683237
299.97048417,-1.00870994,22.026167
299.97142382,-1.00504209,20.746807
299.97174159,-1.0064512,23.559072
299.9716238,-1.01338209,20.344374
299.97049157,-1.01498216,20.682028
299.97369001,-0.9833014,21.377695
299.97473841,-0.98201172,24.460182
299.96795797,-1.00176802,23.305016
299.96879702,-1.00279461,24.238337
299.97277565,-1.01057272,24.50713
299.99902793,-1.02858428,20.537384
299.99946776,-1.02951318,25.753456
300.00813647,-1.03227102,19.826515
300.01067206,-1.03081272,25.021076
300.0076155,-1.03074819,24.229446
300.00815211,-0.96961176,16.637938
300.0078302,-0.97133036,22.47858
300.02027897,-1.02245879,16.220442
300.02047557,-1.02609201,16.450829
300.02180549,-1.02182385,17.188848
300.01886769,-1.02345457,18.797104
300.0178096,-1.0250063,21.029337
300.01743354,-1.02659155,25.081038
300.01655109,-1.02358883,23.71032
300.02007366,-1.02079503,22.596449
299.97517801,-1.01516153,22.583847
299.98032088,-0.97367202,18.898375
299.98378157,-0.97436991,21.807596
299.98238091,-0.97636783,24.415823
